date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2016-12-01,3.21434604,79.61206621,1569.69727502,25748.45233567,3.42985924,1506134,226020,2016,12,4,pre_covid,0.15006632875959244,15.006632875959244,3.21434604,1.506134,226.02,0.76297296065819,-0.20300583756295218,0.2149550771338822,-0.5446409376964171,medium,medium,train
2017-01-01,3.51735288,81.76737245,NA,NA,NA,1480479,316805,2017,1,1,pre_covid,0.2139881754486217,21.39881754486217,3.51735288,1.480479,316.805,0.7209186051686073,0.32918535453652653,0.38545957282019305,-0.5137544200425357,medium,medium,train
2017-02-01,3.42351625,88.02774566,NA,NA,NA,1361010,268993,2017,2,1,pre_covid,0.19764219219550186,19.764219219550185,3.42351625,1.36101,268.993,0.5250818561534073,0.1930943502225197,0.8807125244281927,-0.5233195068540272,high,high,train
2017-03-01,3.15055147,84.67200801,NA,NA,NA,1480161,264711,2017,3,1,pre_covid,0.17883932896488963,17.883932896488965,3.15055147,1.480161,264.711,0.7203973311461678,0.036548212776518735,0.615242891830268,-0.5511437351663581,high,medium,train
2017-04-01,3.28076748,85.06826334,NA,NA,NA,1470750,252135,2017,4,2,pre_covid,0.1714329423763386,17.14329423763386,3.28076748,1.47075,252.135,0.7049705706896305,-0.02511480091715561,0.6465903235551737,-0.5378703744340294,high,high,train
2017-05-01,3.54908271,82.27882297,NA,NA,NA,1363897,232361,2017,5,2,pre_covid,0.17036550413997537,17.036550413997535,3.54908271,1.363897,232.361,0.529814303017505,-0.03400192256535129,0.4259200008385803,-0.5105200905651889,medium,medium,train
2017-06-01,3.627402,83.7548828,NA,NA,NA,1387601,218118,2017,6,2,pre_covid,0.15719071981066604,15.719071981066604,3.627402,1.387601,218.118,0.5686705276335668,-0.14369062120352794,0.5426898743007261,-0.5025367389906025,medium,medium,train
2017-07-01,3.50191372,91.53710721,NA,NA,NA,1632135,349654,2017,7,3,pre_covid,0.2142310531910657,21.42310531910657,3.50191372,1.632135,349.654,0.9695171370777149,0.3312074706358082,1.158335216813513,-0.5153281861261696,high,high,train
2017-08-01,3.53168791,89.35634524,NA,NA,NA,1559283,357287,2017,8,3,pre_covid,0.22913544237960654,22.913544237960654,3.53168791,1.559283,357.287,0.8500962091444824,0.4552962612546418,0.9858169393613322,-0.5122932016846796,high,high,train
2017-09-01,3.3320192,84.33686469,NA,NA,NA,1320050,226978,2017,9,3,pre_covid,0.17194651717737963,17.194651717737962,3.3320192,1.32005,226.978,0.457939139300813,-0.020838954711899053,0.5887299807187427,-0.5326461123197754,high,medium,train
2017-10-01,3.24726355,83.12943322,NA,NA,NA,1402299,245755,2017,10,4,pre_covid,0.1752514977191027,17.52514977191027,3.24726355,1.402299,245.755,0.5927638785197834,0.006677170454538808,0.4932110748447768,-0.5412855439576593,medium,medium,train
2017-11-01,3.09550355,85.17217876,NA,NA,NA,1397330,251096,2017,11,4,pre_covid,0.17969699355198843,17.96969935519884,3.09550355,1.39733,251.096,0.5846185621125437,0.04368883155823413,0.6548109865645889,-0.5567549568565663,high,high,train
2017-12-01,3.2243555,79.64258954,1538.62844341,26807.30642286,3.37586597,1569616,244241,2017,12,4,pre_covid,0.155605574866719,15.5605574866719,3.2243555,1.569616,244.241,0.8670343364207973,-0.15688798988208996,0.21736975254832272,-0.5436206393988744,medium,medium,train
2018-01-01,3.3733835,83.4206083,NA,NA,NA,1563359,291208,2018,1,1,pre_covid,0.1862707158112756,18.62707158112756,3.3733835,1.563359,291.208,0.8567776963000286,0.09841936997212757,0.5162456948214821,-0.5284297085508359,medium,medium,train
2018-02-01,3.34971865,87.99437558,NA,NA,NA,1491970,366616,2018,2,1,pre_covid,0.24572612049840145,24.572612049840146,3.34971865,1.49197,366.616,0.7397549567153153,0.593424510407612,0.878072644973563,-0.5308419471897441,high,high,train
